Ch0_time1 (s),Ch0_amp1 (V),Ch0_width1 (s),Ch0_time2 (s),Ch0_amp2 (V),Ch0_width2 (s),Ch1_time1 (s),Ch1_amp1 (V),Ch1_width1 (s),Ch1_time2 (s),Ch1_amp2 (V),Ch1_width2 (s)
2.68e-06,0.164527,6.758618e-08,0.0,0.0,0.0,2.704e-06,0.143189,6.996318e-08,0.0,0.0,0.0
2.684e-06,0.114709,8.026482e-08,0.0,0.0,0.0,2.704e-06,0.225567,7.123969e-08,0.0,0.0,0.0
2.692e-06,0.103448,6.449415e-08,0.0,0.0,0.0,2.724e-06,0.07253,6.427334e-08,0.0,0.0,0.0
2.684e-06,0.192977,5.880026e-08,0.0,0.0,0.0,2.708e-06,0.167775,6.926576e-08,0.0,0.0,0.0
2.716e-06,0.085928,7.085076e-08,0.0,0.0,0.0,1.082e-05,0.309521,6.521468e-08,0.0,0.0,0.0
2.688e-06,0.122624,6.26611e-08,0.0,0.0,0.0,2.7e-06,0.39068,6.778847e-08,0.0,0.0,0.0
2.684e-06,0.157015,6.274398e-08,0.0,0.0,0.0,2.704e-06,0.106801,7.200138e-08,0.0,0.0,0.0
2.688e-06,0.113703,6.038254e-08,0.0,0.0,0.0,2.724e-06,0.084865,8.025121e-08,0.0,0.0,0.0
2.692e-06,0.092291,6.744782e-08,0.0,0.0,0.0,2.72e-06,0.087847,7.054823e-08,0.0,0.0,0.0
2.672e-06,0.159349,6.556107e-08,0.0,0.0,0.0,1.0056e-05,0.215538,6.032263e-08,0.0,0.0,0.0
2.628e-06,0.36658,7.022425e-08,0.0,0.0,0.0,2.656e-06,0.094432,6.055334e-08,0.0,0.0,0.0
2.636e-06,0.296267,6.988992e-08,0.0,0.0,0.0,2.664e-06,0.294639,6.371415e-08,0.0,0.0,0.0
2.644e-06,0.325581,6.526739e-08,0.0,0.0,0.0,2.672e-06,0.289895,8.02655e-08,0.0,0.0,0.0
2.668e-06,0.206338,6.350985e-08,0.0,0.0,0.0,2.688e-06,0.113339,5.982593e-08,0.0,0.0,0.0
2.708e-06,0.064232,6.108674e-08,0.0,0.0,0.0,2.728e-06,0.122819,6.180521e-08,0.0,0.0,0.0
2.684e-06,0.124413,6.652089e-08,0.0,0.0,0.0,2.712e-06,0.062469,7.481694e-08,0.0,0.0,0.0
2.708e-06,0.082156,6.623864e-08,0.0,0.0,0.0,2.72e-06,0.125429,7.364191e-08,0.0,0.0,0.0
2.68e-06,0.123643,7.43994e-08,0.0,0.0,0.0,2.704e-06,0.106278,6.625918e-08,0.0,0.0,0.0
2.648e-06,0.347543,6.764709e-08,0.0,0.0,0.0,2.684e-06,0.464863,6.701548e-08,0.0,0.0,0.0
2.664e-06,0.30326,6.114661e-08,0.0,0.0,0.0,2.684e-06,0.226248,6.560921e-08,0.0,0.0,0.0
2.636e-06,0.347701,6.762781e-08,0.0,0.0,0.0,2.66e-06,0.108299,6.196993e-08,0.0,0.0,0.0
2.68e-06,0.159748,6.450157e-08,0.0,0.0,0.0,2.7e-06,0.117983,6.775925e-08,0.0,0.0,0.0
2.696e-06,0.101297,6.747507e-08,0.0,0.0,0.0,2.716e-06,0.113024,7.182498e-08,0.0,0.0,0.0
2.688e-06,0.145557,6.635607e-08,0.0,0.0,0.0,2.708e-06,0.187107,6.537581e-08,0.0,0.0,0.0
2.624e-06,0.333994,6.813633e-08,0.0,0.0,0.0,2.648e-06,0.287584,7.480285e-08,0.0,0.0,0.0
2.704e-06,0.079051,7.108481e-08,0.0,0.0,0.0,2.72e-06,0.132396,6.931454e-08,0.0,0.0,0.0
2.712e-06,0.059741,6.210916e-08,0.0,0.0,0.0,2.736e-06,0.113054,6.330828e-08,0.0,0.0,0.0
2.692e-06,0.135182,6.089533e-08,0.0,0.0,0.0,2.716e-06,0.214698,7.304717e-08,0.0,0.0,0.0
2.696e-06,0.098735,5.695644e-08,0.0,0.0,0.0,2.716e-06,0.125718,7.09123e-08,0.0,0.0,0.0
2.696e-06,0.081798,7.505694e-08,0.0,0.0,0.0,2.712e-06,0.267654,6.558483e-08,0.0,0.0,0.0
2.668e-06,0.221247,6.311456e-08,0.0,0.0,0.0,2.688e-06,0.255543,6.735051e-08,0.0,0.0,0.0
2.696e-06,0.099369,6.130748e-08,0.0,0.0,0.0,2.712e-06,0.360749,7.448421e-08,0.0,0.0,0.0
2.68e-06,0.173674,6.221771e-08,0.0,0.0,0.0,2.704e-06,0.134862,7.278955e-08,0.0,0.0,0.0
2.7e-06,0.092035,7.691148e-08,0.0,0.0,0.0,2.716e-06,0.124953,6.209656e-08,0.0,0.0,0.0
2.7e-06,0.082115,6.261968e-08,0.0,0.0,0.0,2.72e-06,0.115499,5.994147e-08,0.0,0.0,0.0
2.676e-06,0.180665,6.534704e-08,0.0,0.0,0.0,2.7e-06,0.078414,7.134427e-08,0.0,0.0,0.0
2.66e-06,0.193704,6.794694e-08,0.0,0.0,0.0,2.684e-06,0.180911,6.415822e-08,0.0,0.0,0.0
2.684e-06,0.137556,6.602278e-08,0.0,0.0,0.0,2.716e-06,0.07201,6.045197e-08,0.0,0.0,0.0
2.692e-06,0.102374,5.928725e-08,0.0,0.0,0.0,2.716e-06,0.10371,6.548707e-08,0.0,0.0,0.0
2.7e-06,0.075959,6.041944e-08,0.0,0.0,0.0,2.716e-06,0.147269,6.333144e-08,0.0,0.0,0.0
2.708e-06,0.064012,6.094435e-08,0.0,0.0,0.0,2.716e-06,0.424111,6.930457e-08,0.0,0.0,0.0
